Dataset,Model,RMSE
ML-100K,GLocal-K Baseline,1.0456587
ML-100K,MF 25,0.977244616
ML-100K,MF 50,0.981018901
ML-100K,MF 75,0.972769618
ML-100K,MF 100,0.96917814
ML-100K,GLocal-K + MF 25,0.9984087
ML-100K,GLocal-K + MF 50,0.9738702
ML-100K,GLocal-K + MF 75,0.9691075
ML-100K,GLocal-K + MF 100,0.971299
ML-1M,GLocal-K Baseline,0.8951464
ML-1M,MF 25,0.892670214
ML-1M,MF 50,0.894207239
ML-1M,MF 75,0.892204463
ML-1M,MF 100,0.891647518
ML-1M,GLocal-K + MF 25,0.8978607
ML-1M,GLocal-K + MF 50,0.8942703
ML-1M,GLocal-K + MF 75,0.8954349
ML-1M,GLocal-K + MF 100,0.89537466
